hash,author,date,message,year_month,year
5fdce4c3,pgjones,2023-10-01 15:37:05+00:00,Don't set the cli attribute in the sansio scaffold,2023-10,2023
6000e80a,David Lord,2023-12-14 16:58:13+00:00,address mypy strict findings,2023-12,2023
708d62d7,David Lord,2023-12-14 00:28:13+00:00,Merge branch '3.0.x',2023-12,2023
c2755731,David Lord,2023-12-14 00:27:37+00:00,run typing tests,2023-12,2023
12a1c494,David Lord,2023-12-13 23:13:41+00:00,Merge branch '3.0.x',2023-12,2023
77f6c72c,David Lord,2023-12-13 23:13:22+00:00,Update docs to address redesigned macOS settings app (#5355),2023-12,2023
8a66990c,Ben Huebscher,2023-12-05 17:58:59+00:00,Update docs to address redesigned macOS settings app,2023-12,2023
05eebe36,David Lord,2023-12-13 23:06:37+00:00,fix missing quote in `--key` error message (#5344),2023-12,2023
1d5abfad,lizard,2023-11-24 22:03:31+00:00,Fixing issue 5342: 'The double quote is missing in the string',2023-11,2023
399aa853,David Lord,2023-12-13 23:01:14+00:00,Bump the python-requirements group in /requirements with 3 updates (#5351),2023-12,2023
b55ccae7,dependabot[bot],2023-12-01 15:32:16+00:00,Bump the python-requirements group in /requirements with 3 updates,2023-12,2023
089f6a1c,David Lord,2023-12-04 22:26:30+00:00,Bump the github-actions group with 2 updates (#5352),2023-12,2023
b64f848d,David Lord,2023-12-04 22:26:15+00:00,[pre-commit.ci] pre-commit autoupdate (#5354),2023-12,2023
452b78f2,pre-commit-ci[bot],2023-12-04 20:29:39+00:00,[pre-commit.ci] pre-commit autoupdate,2023-12,2023
78ced009,dependabot[bot],2023-12-01 15:47:14+00:00,Bump the github-actions group with 2 updates,2023-12,2023
d6119894,David Lord,2023-11-15 21:03:05+00:00,Merge branch '3.0.x',2023-11,2023
b97165db,David Lord,2023-11-15 20:55:43+00:00,type hint fix for flask.send_file (#5336),2023-11,2023
4104f299,Daniel Isaac,2023-11-13 11:28:47+00:00,type hint fix for flask.send_file,2023-11,2023
66743d4f,David Lord,2023-11-15 20:50:46+00:00,start version 3.0.1,2023-11,2023
258311d0,David Lord,2023-11-15 20:48:42+00:00,Merge branch '3.0.x',2023-11,2023
5308db06,David Lord,2023-11-15 20:47:41+00:00,update pre-commit hooks,2023-11,2023
59fd6aa1,David Lord,2023-11-09 16:46:01+00:00,use pip-compile instead of pip-compile-multi,2023-11,2023
560383fe,David Lord,2023-11-09 16:45:23+00:00,update python version matrix,2023-11,2023
62770365,David Lord,2023-11-09 16:39:48+00:00,update read the docs env,2023-11,2023
ce27ddeb,David Lord,2023-11-15 20:14:51+00:00,Merge branch '3.0.x',2023-11,2023
54e05a28,David Lord,2023-11-09 17:20:27+00:00,use ruff linter and formatter,2023-11,2023
9a12f34b,David Lord,2023-11-09 21:29:20+00:00,use ruff linter and formatter (#5331),2023-11,2023
54ff9b29,David Lord,2023-11-09 17:20:27+00:00,use ruff linter and formatter,2023-11,2023
6edfd78c,David Lord,2023-11-09 17:04:52+00:00,Bump the github-actions group with 4 updates (#5330),2023-11,2023
4431ada1,dependabot[bot],2023-11-09 17:01:38+00:00,Bump the github-actions group with 4 updates,2023-11,2023
24653528,David Lord,2023-11-09 17:00:37+00:00,use pip-compile and dependabot grouped updates (#5329),2023-11,2023
33d88862,David Lord,2023-11-09 16:46:13+00:00,enable grouped updates for actions and python,2023-11,2023
04920b30,David Lord,2023-11-09 16:46:01+00:00,use pip-compile instead of pip-compile-multi,2023-11,2023
6ee5dcc0,David Lord,2023-11-09 16:45:23+00:00,update python version matrix,2023-11,2023
c4bfd367,David Lord,2023-11-09 16:40:39+00:00,update description,2023-11,2023
29f1bd22,David Lord,2023-11-09 16:39:48+00:00,update read the docs env,2023-11,2023
8d9519df,David Lord,2023-10-28 15:42:53+00:00,Update link to hypercorn (#5313),2023-10,2023
7af0271f,Resistor-git,2023-10-28 08:04:03+00:00,Initial commit,2023-10,2023
be6ec068,Resistor-git,2023-10-28 07:38:33+00:00,Fix link to Hypercorn in docs/deploying/asgi.rst - they moved from gitlab from github.,2023-10,2023
beedaa4e,David Lord,2023-10-20 16:50:00+00:00,docs/testing.rst: fix follow_redirects sample code (#5303),2023-10,2023
bb993759,Arnout Engelen,2023-10-20 15:17:24+00:00,docs/testing.rst: fix follow_redirects sample code,2023-10,2023
541bc8df,Iztok Fister Jr,2023-10-07 00:36:39+00:00,examples/javascript: replace obsolete link (#5287),2023-10,2023
3652ecd9,Akinola Abiodun Emmanuel,2023-10-06 23:37:42+00:00,Update index.rst (#5291),2023-10,2023
14232513,pgjones,2023-09-16 15:01:21+00:00,Release version 3.0.0,2023-09,2023
3252f2bc,pgjones,2023-09-30 14:08:50+00:00,Bump Werkzeug 3.0.0,2023-09,2023
438edcdf,pgjones,2023-09-24 15:16:55+00:00,Allow self as an argument to url_for,2023-09,2023
b7c12905,nick2202,2023-09-22 08:13:43+00:00,Fix wrong spelling of JS method .innerHTML,2023-09,2023
80374871,David Lord,2023-09-05 21:02:38+00:00,Bump pypa/gh-action-pypi-publish from 1.8.8 to 1.8.10 (#5248),2023-09,2023
e8076d91,David Lord,2023-09-05 21:02:28+00:00,Bump slsa-framework/slsa-github-generator from 1.7.0 to 1.9.0 (#5247),2023-09,2023
ecc4a38b,David Lord,2023-09-05 21:01:15+00:00,Bump actions/checkout from 3.5.3 to 3.6.0 (#5246),2023-09,2023
24c6508d,dependabot[bot],2023-09-01 16:30:35+00:00,Bump pypa/gh-action-pypi-publish from 1.8.8 to 1.8.10,2023-09,2023
98cef9fc,dependabot[bot],2023-09-01 16:30:31+00:00,Bump slsa-framework/slsa-github-generator from 1.7.0 to 1.9.0,2023-09,2023
0c97a411,dependabot[bot],2023-09-01 16:30:27+00:00,Bump actions/checkout from 3.5.3 to 3.6.0,2023-09,2023
faef9a0f,David Lord,2023-08-29 13:09:59+00:00,deprecate `__version__` attribute (#5242),2023-08,2023
293041a2,David Lord,2023-08-29 13:03:11+00:00,deprecate __version__ attribute,2023-08,2023
153433f6,David Lord,2023-08-27 16:21:54+00:00,Merge remote-tracking branch 'origin/2.3.x',2023-08,2023
65271c10,pgjones,2023-08-27 09:17:12+00:00,Remove print left in by accident,2023-08,2023
a6007373,David Lord,2023-08-21 19:52:54+00:00,release version 2.3.3 (#5232),2023-08,2023
3205b53c,David Lord,2023-08-21 17:25:35+00:00,release version 2.3.3,2023-08,2023
